User Name,Ovi
Domain Name,Ovi-PC
OS Name ,Microsoft Windows 7 Ultimate 
OS Version ,6.1.7601
Service Pack ,1.0
Computer Name ,OVI-PC
Model ,Aspire 5920G    
CPU ,Intel(R) Core(TM)2 Duo CPU     T7500  @ 2.20GHz
Serial Number / Service Tag ,LXAQC0C002830308F42500
RAM Capacity (MB),2048
RAM Capacity (MB),2048
CD\DVD Drive ,Optiarc DVD RW AD-7530B ATA Device
IPV4 ,192.168.0.104, IPV6 ,fe80::7ca2:b605:1834:2e9e
MAC Address ,00:1F:3B:16:9C:7D

Drive Letter ,
Capacity Space (GB) ,9.76524353027344E-02
Free Space (GB) ,6.99882507324219E-02
File System ,NTFS

Drive Letter ,D:
Capacity Space (GB) ,58.4951133728027
Free Space (GB) ,2.500732421875
File System ,NTFS

Drive Letter ,E:
Capacity Space (GB) ,146.484371185303
Free Space (GB) ,34.220027923584
File System ,NTFS

Drive Letter ,C:
Capacity Space (GB) ,260.682613372803
Free Space (GB) ,177.733787536621
File System ,NTFS

Drive Letter ,F:
Capacity Space (GB) ,
Free Space (GB) ,
File System ,

Volume ,C:
Serial Number ,F2423264
Volume ,D:
Serial Number ,A236EF76
Volume ,E:
Serial Number ,6C5C1172
Volume ,F:
Serial Number ,
Volume ,G:
Serial Number ,
Device ,C:
DriveType ,Local Hard Disk
Device ,D:
DriveType ,Local Hard Disk
Device ,E:
DriveType ,Local Hard Disk
Device ,F:
DriveType ,Compact Disk
Device ,G:
DriveType ,Compact Disk

